rxqual_value,rxlev_dbm,km_value,hour,day_of_week,is_weekend,has_hdlc_retrans,com_dte_dce_ok,voisinage_ok,label
6.0,-53.0,6.13,12.0,3,0,1,1,0,0
0.0,-77.0,7.321,13.0,3,0,1,1,1,0
5.0,-58.0,109.495,21.0,3,0,1,1,1,1
0.0,-79.0,7.321,16.0,4,0,1,1,1,0
7.0,-85.0,25.85,21.0,4,0,1,1,1,0
7.0,-92.0,26.739,22.0,4,0,1,1,1,0
1.0,-48.0,56.555,8.0,5,1,1,1,1,0
6.0,-53.0,6.13,14.0,5,1,1,1,0,0
6.0,-94.0,25.91,16.0,5,1,1,1,1,1
7.0,-72.0,74.713,20.0,5,1,1,1,1,0
0.0,-48.0,114.607,21.0,5,1,1,1,1,1
3.0,-52.0,92.561,11.0,6,1,1,1,1,1
0.0,-48.0,130.484,13.0,6,1,1,1,1,0
0.0,-110.0,177.85,16.0,6,1,1,1,1,1
7.0,-56.0,152.488,16.0,6,1,1,1,1,0
7.0,-84.0,25.85,19.0,6,1,1,1,1,1
0.0,-62.0,177.85,19.0,6,1,1,1,1,1
7.0,-92.0,26.739,20.0,6,1,1,1,1,1
7.0,-73.0,176.612,20.0,6,1,1,1,0,1
1.0,-86.0,12.496,20.0,6,1,1,1,1,1
0.0,-48.0,110.843,6.0,0,0,1,1,1,1
0.0,-71.0,6.13,7.0,0,0,1,1,1,0
2.0,-58.0,104.253,17.0,0,0,1,1,1,1
0.0,-53.0,59.758,8.0,1,0,1,1,1,1
5.0,-52.0,6.13,15.0,1,0,1,1,1,0
5.0,-56.0,6.13,17.0,1,0,1,1,1,0
6.0,-77.0,108.206,16.0,2,0,1,1,1,1
0.0,-48.0,164.066,16.0,2,0,1,0,1,1
1.0,-49.0,73.586,20.0,2,0,1,1,1,0
3.0,-69.0,8.97,8.0,3,0,1,1,1,0
2.0,-69.0,144.326,18.0,3,0,1,1,1,1
0.0,-48.0,49.785,8.0,3,0,1,1,1,0
7.0,-53.0,6.13,15.0,4,0,1,1,1,0
0.0,-73.0,44.47,15.0,4,0,1,1,0,1
0.0,-50.0,35.259,22.0,4,0,1,1,1,0
1.0,-48.0,98.982,11.0,5,1,1,1,1,0
7.0,-52.0,6.13,14.0,5,1,1,1,1,0
0.0,-61.0,11.28,17.0,5,1,1,1,1,0
